episode,score,ma,std
0,0.6879999846220016,0.6879999846220016,0.0
1,0.7139999840408564,0.700999984331429,0.01299999970942739
2,0.5529999876394868,0.6516666521007816,0.07057068796312635
3,0.6794999848119915,0.658624985278584,0.06229303092266123
4,0.8304999814368784,0.6929999845102429,0.08849237057470827
5,0.840499981213361,0.7175833172940959,0.09771105854551243
6,0.6504999854601919,0.7079999841749667,0.09345892701131156
7,0.4584999897517264,0.6768124848720618,0.12021385297761392
8,0.48499998915940523,0.6554999853484333,0.1283722855906051
9,0.6279999859631061,0.6527499854099006,0.1220637613460181
10,1.0614999762736261,0.6899090754884211,0.16538753268401646
11,1.196499973256141,0.732124983635731,0.2113708310318329
12,1.5239999659359456,0.7930384438126706,0.29285881094513233
13,1.5249999659135938,0.8453214096770223,0.33937550120866294
14,1.7134999617002904,0.9031999798119068,0.3929330134996867
15,1.792999959923327,0.9588124785688705,0.43719312814730155
16,1.6664999627508224,1.0004411541089855,0.45565510585713676
17,2.1839999511837958,1.0661944206131415,0.5192171111136836
18,2.4469999453052877,1.1388683955969388,0.5920006500431929
19,2.443999945372343,1.2041249730857089,0.6433129319191356
20,2.318499948177487,1.2571904480900793,0.6711655574344586
21,2.6859999399632217,1.3221363340843129,0.7201145294298861
22,2.6739999402314423,1.3809130126124491,0.756321352737259
23,2.528499943483621,1.4287291347320812,0.775096454885406
24,1.9119999572634696,1.4480599676333368,0.7653181562047497
25,2.537499943282455,1.4899615051583028,0.7791520848860054
26,3.43049992332235,1.5618332984236378,0.8478785428457949
27,3.296499926317483,1.6237856779912752,0.8926655152020897
28,3.206999928317964,1.6783792728301263,0.9234863145557374
29,2.8944999353028833,1.718916628245885,0.9338385544291633
30,3.3209999257698657,1.7705967346176263,0.961274497219176
31,3.6199999190866947,1.828390584132285,0.9993578631819121
32,4.3549999026581645,1.9049545028754935,1.0751916527737702
33,3.8514999139122663,1.962205838494222,1.1091440882502845
34,4.493499899562448,2.034528525953314,1.1717045010627216
35,3.632999918796122,2.0789305090878365,1.1848034977403925
36,2.842499936465174,2.0995675206385753,1.1752241453443821
37,4.049499909486622,2.150881530871419,1.200929396311347
38,4.040499909687787,2.1993332841744024,1.2224806228989562
39,4.8514998915605245,2.2656374493590556,1.276146877143008
40,4.768999893404543,2.3266950699455307,1.3183138552030411
41,5.470499877724796,2.4015475653688463,1.3879086295579712
42,5.260499882418662,2.468034828556051,1.4377608537768394
43,6.172999862022698,2.552238579316657,1.5248138013827315
44,5.29049988174811,2.6130888304818,1.5608684530195513
45,6.380499857384711,2.6949890701970807,1.6386553257422911
46,6.841499847080558,2.7832127037477927,1.7280325185225882
47,5.691499872785061,2.8438020197694036,1.7596664765989853
48,7.073499841894955,2.930122383486251,1.8414373702419575
49,7.9654998219572,3.03082993225567,1.9544902827415755
50,8.197499816771597,3.1321371848932373,2.0635618827023263
51,8.483999810367823,3.235057619998518,2.171778283071779
52,7.900999823398888,3.3230942653456945,2.2429113918065062
53,8.04399982020259,3.410518442287489,2.31139992086158
54,7.54399983137846,3.4856726493618706,2.3559355522991448
55,7.8369998248294,3.5633749203523624,2.404867527339436
56,7.581999830529094,3.633877111758972,2.4413676870528125
57,8.509999809786677,3.7179481927594495,2.502076289917436
58,8.473499810602515,3.7985507625533996,2.555599818881194
59,8.330499813798815,3.874083246740823,2.5997775175794775
60,10.077499774750322,3.9757785996590114,2.696026543265653
61,9.416499789524824,4.063532167237493,2.7606278821008248
62,9.05149979768321,4.142706256609647,2.8086911997510877
63,8.867999801784753,4.216538968253008,2.847615592343642
64,10.142499773297459,4.307707596022923,2.918237828924164
65,9.54199978671968,4.387015053457722,2.9657897359856458
66,10.265499770548194,4.474753631324744,3.0286462931237788
67,10.220499771554023,4.559249898092823,3.0848274222928205
68,9.779499781411142,4.6349056935032324,3.125294100965483
69,9.612499785143882,4.70601418052667,3.1586105800896696
70,10.82199975810945,4.792154822464456,3.218029973046613
71,10.691999761015177,4.87409711327766,3.269345466086167
72,10.999499754142017,4.958006738494979,3.3240246302215337
73,9.17749979486689,5.015026914932437,3.337240174325017
74,9.744499782193452,5.078086553162584,3.3590085865875476
75,9.86399977952242,5.141059095614687,3.381108479174927
76,10.150499773118645,5.206116766751102,3.4066256660497576
77,9.700999783165752,5.263743472089752,3.4222828020712073
78,8.243499815743416,5.3014619068195445,3.416831167883647
79,11.593999740853906,5.380118629744975,3.4666359145858427
80,13.544499697256834,5.480913457738948,3.5611749967815753
81,17.262499614153057,5.624591337695217,3.7682116723295516
82,16.498999631218613,5.7556083050870654,3.9288558663668423
83,22.715999492257833,5.9575177239819554,4.3169251695587905
84,23.856999466754495,6.1680998621322205,4.70548233542731
85,26.917999398335816,6.409377763715984,5.179998180962846
86,29.34049934418872,6.67295387383636,5.700753146877855
87,32.02999928407371,6.961102117134512,6.273184438788512
88,33.80599924437702,7.262730174743979,6.84958910591153
89,36.43899918552488,7.586910941530433,7.4665162187177145
90,38.359999142587185,7.92507674593765,8.08877552999864
91,38.29249914409593,8.2551574241785,8.638973240007907
92,38.60749913705513,8.581526689908356,9.144884915530653
93,38.667499135714024,8.901590226565864,9.605531366490172
94,38.36299914252013,9.211710320418014,10.016756448798517
95,38.60349913714454,9.517874787258915,10.401693799958142
96,38.61149913696572,9.817809058905377,10.757138726776141
97,38.79499913286418,10.113494671904956,11.091256284229765
98,38.713999134674665,10.402388656377378,11.399668170854815
99,38.070499149058016,10.679069761304184,11.671829377183025
100,38.02599915005267,11.05244975295849,11.940373491185756
101,37.82899915445596,11.423599744662642,12.187525070125334
102,37.94399915188551,11.7975097363051,12.419644725574713
103,38.38999914191663,12.174614727876149,12.64677312417522
104,38.50549913933501,12.551364719455128,12.862550106541788
105,38.08649914870038,12.92382471113,13.055859074450904
106,38.38349914206192,13.301154702696017,13.239663268847133
107,37.57649916009977,13.672334694399499,13.393823000574402
108,38.0349991498515,14.04783468600642,13.544365269529182
109,38.398999141715464,14.425544677563941,13.690728183205993
110,37.65749915828928,14.791504669384098,13.817140502035214
111,36.149999191984534,15.141039661571384,13.910600572874657
112,38.495499139558525,15.510754653307606,14.034535588943099
113,38.49349913960323,15.880439645044506,14.147705619769548
114,37.934999152086675,16.24265463694837,14.243714008427736
115,37.93449915209785,16.604069628870114,14.330743314264481
116,38.516499139089134,16.9725696206335,14.415430881194915
117,38.22249914566055,17.332954612578266,14.491492237433436
118,38.247499145101756,17.690959604576232,14.561368237901481
119,37.57649916009977,18.0422845967235,14.612996433151817
120,36.82399917691946,18.387339589010924,14.644990809030446
121,37.668999158032236,18.737169581191612,14.683524034194441
122,38.242499145213515,19.092854573241432,14.720859039949564
123,37.929999152198434,19.446869565328583,14.743912844809
124,37.92699915226549,19.807019557278604,14.75105736319955
125,38.169999146834016,20.163344549314118,14.759957755682663
126,38.472499140072614,20.513764541481624,14.77450267535707
127,37.800499155092986,20.858804533769376,14.77128452896307
128,38.60599913708866,21.21279452585708,14.768185563083774
129,37.582499159965664,21.559674518103705,14.74120253668849
130,37.301999166235326,21.899484510508366,14.708477036768778
131,37.42499916348606,22.237534502952357,14.672901534014365
132,38.13699914757162,22.575354495401495,14.646159783442572
133,38.05999914929271,22.9174394877553,14.604276399631107
134,37.025499172415586,23.242759480483826,14.552491678070766
135,37.56499916035682,23.58207947289943,14.486742724880258
136,37.62449915902689,23.929899465125054,14.401921050429763
137,37.584999159909785,24.26525445762928,14.325333559245355
138,35.97149919597432,24.584564450492152,14.226495612257947
139,37.68649915764108,24.912914443152957,14.145954624900668
140,37.82549915453419,25.243479435764254,14.05732316413117
141,37.84799915403128,25.567254428527317,13.970774361578366
142,38.21349914586172,25.896784421161748,13.876223495556628
143,36.958499173913154,26.204639414280646,13.776361724388938
144,37.30699916612357,26.524804407124403,13.658120234325695
145,37.252999167330564,26.83352940022386,13.547765453540123
146,38.31249914364889,27.148239393189545,13.444841442413143
147,37.14149916982278,27.462739386159928,13.30637391881122
148,38.154499147180466,27.77354937921278,13.188969269483401
149,38.3789991421625,28.077684372414836,13.078898259081498
150,38.609499137010424,28.381804365617228,12.96618928381939
151,37.20449916841462,28.669009359197695,12.839733292017373
152,37.91249915258959,28.969124352489597,12.70078741006855
153,37.217999168112875,29.2608643459687,12.550964887301758
154,37.23199916779995,29.557744339332917,12.383769609123433
155,37.49299916196615,29.85430433270428,12.213991041856
156,37.25399916730821,30.151024326072076,12.02832215124582
