episode,score
0,0.7269999837502837
1,1.0164999772794545
2,1.1484999743290245
3,0.9784999781288206
4,0.8649999806657434
5,0.9184999794699251
6,1.5654999650083483
7,1.6859999623149633
8,1.859499958436936
9,2.497499944176525
10,2.2169999504461884
11,2.779999937862158
12,2.6014999418519436
13,2.603999941796064
14,3.273999926820397
15,3.687499917577952
16,4.338999903015792
17,5.333499880786985
18,8.978999799303711
19,8.826499802712352
20,13.342999701760709
21,16.666499627474696
22,20.747999536246063
23,21.58949951743707
24,23.931499465089292
25,29.442499341908842
26,32.27699927855283
27,34.172499236185104
28,34.87199922055006
29,33.940999241359535
30,35.769999200478196
31,36.62199918143451
32,37.01299917269498
33,37.43449916327372
34,37.13849916988984
35,37.393999164178965
36,37.48649916211143
37,37.99899915065616
38,37.68649915764108
39,37.38799916431308
40,36.85549917621538
41,36.28999918885529
42,37.97999915108085
43,37.217999168112875
44,36.79149917764589
45,37.308499166090044
46,36.97999917343259
47,37.571999160200356
48,37.15949916942045
49,37.55799916051328
50,37.45399916283786
51,38.03549914984033
52,38.00199915058911
53,38.00099915061146
54,37.66549915811047
55,37.32499916572124
56,37.486999162100254
57,36.791999177634715
58,37.44899916294962
59,37.07799917124212
60,37.195999168604615
61,37.56899916026741
62,37.1564991694875
63,37.445499163027854
64,37.908499152679
65,37.84299915414304
66,37.75149915618822
67,37.239999167621136
68,37.79599915519357
69,37.71899915691465
70,37.6204991591163
71,37.119999170303345
72,37.84799915403128
73,37.38049916448072
74,38.053999149426815
75,38.090999148599806
76,37.93849915200845
77,38.16449914695695
78,37.53099916111678
79,37.85199915394187
80,37.451999162882565
81,36.811499177198854
82,37.01449917266145
83,37.12799917012453
84,36.98399917334318
85,37.389999164268374
86,37.449499162938444
87,37.17649916904047
88,36.807499177288264
89,37.53699916098267
90,37.96799915134907
91,36.82099917698652
92,37.317499165888876
93,37.666499158088115
94,37.86199915371835
95,37.13449916997924
96,37.51849916139618
97,37.55849916050211
98,37.6764991578646
99,37.22799916788936
100,37.741499156411734
101,37.15299916956574
