episode,score
0,0.7769999826326967
1,0.6719999849796295
2,0.6084999863989651
3,0.5279999881982803
4,0.8354999813251197
5,0.8454999811016023
6,0.6604999852366745
7,0.9859999779611825
8,1.0984999754466116
9,1.0464999766089023
10,1.3154999705962838
11,1.688499962259084
12,1.866499958280474
13,1.959999956190586
14,2.240999949909747
15,2.107499952893704
16,2.6394999410025775
17,3.430999923311174
18,4.394499901775271
19,3.951499911677092
20,4.591499897371977
21,5.656499873567372
22,7.558999831043184
23,8.618499807361513
24,10.579499763529748
25,14.787499669473618
26,19.07949957353994
27,20.670499537978323
28,24.08999946154654
29,23.37949947742745
30,26.426499409321696
31,29.14099934864789
32,31.71499929111451
33,33.06499926093966
34,34.230499234888704
35,33.93649924146011
36,36.56549918269739
37,36.87999917566776
38,36.59599918201566
39,37.046499171946195
40,37.35999916493893
41,37.69149915752932
42,37.55549916056916
43,37.756999156065284
44,37.43749916320667
45,37.921999152377246
46,38.01049915039912
47,37.5894991598092
48,37.5439991608262
49,36.42849918575958
50,36.75149917853996
51,36.58749918220565
52,36.73999917879701
53,36.85349917626009
54,36.60749918175861
55,37.14549916973338
56,36.231499190162864
57,36.35949918730184
58,37.043499172013256
59,36.34799918755889
60,37.234999167732894
61,36.71899917926639
62,36.36999918706715
63,37.017999172583224
64,36.84399917647242
65,36.60499918181449
66,37.137999169901015
67,36.59749918198213
68,37.38149916445836
69,37.043499172013256
70,36.95449917400256
71,37.2784991667606
72,36.56899918261915
73,36.9719991736114
74,37.17449916908517
75,37.44499916303903
76,36.97799917347729
77,36.71249917941168
78,37.49499916192144
79,36.79599917754531
80,37.021999172493814
81,36.53699918333441
82,36.61399918161332
83,37.15249916957691
84,37.11949917031452
85,36.86649917596951
86,37.051499171834436
87,36.856499176193026
88,36.89749917527661
89,37.20099916849286
90,37.07649917127564
91,36.84249917650595
92,36.87399917580187
93,37.44999916292727
94,37.217999168112875
95,36.736499178875235
96,37.25199916735291
97,36.96699917372316
98,37.03649917216971
99,37.198999168537554
100,37.46799916252494
101,37.08699917104095
102,36.97049917364493
103,37.33099916558713
104,37.59249915974215
105,37.18649916881695
106,36.41549918605015
107,36.849999176338315
