episode,score,ma,std
0,0.5874999868683517,0.5874999868683517,0.0
1,0.11199999749660491,0.3497499921824783,0.2377499946858734
2,0.0009999999776482583,0.23349999478086828,0.25438454573179275
3,0.13599999696016313,0.209124995325692,0.2243123817931089
4,0.9144999795593322,0.35019999217242004,0.3462101307613272
5,0.7529999831691384,0.41733332400520645,0.3498842190634893
6,0.3069999931380153,0.4015714195956077,0.32622257541744504
7,0.9914999778382481,0.47531248937593773,0.36219157945681774
8,1.4109999684616923,0.5792777648299104,0.45064077512548295
9,0.9724999782629311,0.6185999861732125,0.44349242519739984
10,1.7019999619573354,0.7170908930626783,0.5251757951100968
11,1.8179999593645335,0.8088333152544994,0.5877149593535189
12,2.6824999400414526,0.9529615171611882,0.7537335226219041
13,2.7309999389573933,1.0799642615752028,0.8586155705034777
14,3.3159999258816244,1.2290333058622975,0.9995873002839528
15,3.486499922070652,1.3701249693753197,1.1114536474372105
16,4.047999909520149,1.5276470246779568,1.2488690695058822
17,4.540499898511916,1.6950277398909546,1.3961742602073548
18,6.511499854456633,1.9485262722365164,1.7330362948463882
19,6.76899984870106,2.1895499510597434,1.9892209330811679
20,10.464999766089022,2.5836189898706614,2.621903793038088
21,13.065499707963317,3.060068113420328,3.3658560305591654
22,17.864999600686133,3.7037607867797107,4.466755852335684
23,21.173499526735394,4.431666567611197,5.59527080162534
24,24.95599944218993,5.252639882594346,6.799316549751625
25,28.627999360114337,6.151692170191269,8.041142759594791
26,31.490499296132477,7.090166508189092,9.228447815410245
27,32.70299926903099,8.004910535362017,10.233039524457654
28,35.18199921362102,8.9420515242675,11.211367578953054
29,34.7339992236346,9.801783114246403,11.955749719478415
30,36.93199917450547,10.67695137425476,12.700652332925822
31,37.32899916563183,11.509827867735293,13.333038672203028
32,37.491999161988495,12.297166391803572,13.864336096692615
33,37.762999155931176,13.046161473101442,14.320582434709765
34,37.17649916904047,13.735599692985415,14.67585537386451
35,37.63649915875867,14.399513567034672,14.99417520232254
36,38.29099914412946,15.045229393442641,15.2891821963722
37,38.21599914580584,15.654986492189042,15.53590276731703
38,38.17249914677814,16.23235861153748,15.74303251207669
39,37.738499156478795,16.770012125161013,15.903483158954632
40,37.506499161664394,17.275780101661095,16.030721349967944
41,37.228999167867,17.75085674609457,16.128204184977314
42,38.14199914745986,18.225069360079807,16.233131281174863
43,37.42299916353077,18.661385946521875,16.300662169197523
44,37.941499151941386,19.089832906642307,16.36715687935899
45,38.06749914912507,19.502390868435413,16.423137524485913
46,37.436499163229016,19.883967640665063,16.45230600404826
47,36.774999178014696,20.235864131026513,16.457803731353884
48,37.315999165922406,20.584438315412143,16.467050523567217
49,37.29249916644767,20.918599532432854,16.468515419304754
50,36.99149917317554,21.23375442734938,16.45783242563119
51,37.2869991665706,21.542470672334403,16.447248673866188
52,37.03249917225912,21.83473536101223,16.427104396623452
53,36.83499917667359,22.112518024265214,16.39945703751048
54,37.12799917012453,22.385526772371747,16.373061932271565
55,36.89699917528778,22.644660208138106,16.339624307562897
56,37.26149916714057,22.901095979348675,16.30895231582471
57,37.56099916044623,23.153852930746908,16.279973486758475
58,37.6744991579093,23.39996557866492,16.249877487139933
59,37.578499160055074,23.636274471688086,16.21580139011518
60,37.07049917140976,23.856507663486802,16.172559544030193
61,37.57099916022271,24.077709139240607,16.134368359225554
62,37.38049916448072,24.28886453646664,16.091929108025724
63,36.951999174058436,24.48672601517901,16.042770433974866
64,37.19949916852638,24.682307140615123,15.99559513759945
65,36.986999173276125,24.868741868382717,15.94495767713861
66,36.951999174058436,25.049088992348025,15.893195999335594
67,36.72499917913228,25.220793553918384,15.838383463246528
68,36.736499178875235,25.387687838338046,15.783309906239744
69,37.722999156825246,25.56390657145929,15.73838543749589
70,37.79449915522709,25.736168438836305,15.693478892756653
71,38.00199915058911,25.906527198721758,15.650086915855406
72,37.92499915231019,26.07116380082571,15.60518041041198
73,38.17349914675579,26.23470887306801,15.562241251662856
74,37.073499171342704,26.379226077045004,15.508054289651513
75,37.49849916184321,26.525532301844983,15.457706519418158
76,37.332999165542425,26.665889014360534,15.405673159529668
77,37.67899915780872,26.807082734148334,15.356661695026942
78,37.235999167710546,26.93909433457317,15.303634099905208
79,37.661499158199874,27.0731243948685,15.25427356393752
80,37.41499916370958,27.200801861150488,15.202770583445421
81,37.118499170336875,27.321749389311297,15.148945107516441
82,37.61799915917218,27.445800591357813,15.09925379252019
83,37.48499916214496,27.565314860057658,15.04855050883157
84,37.863999153673646,27.68647585174726,15.000925611595664
85,37.10749917058274,27.79602263452442,14.94761551333728
86,37.412999163754286,27.906562594630508,14.896774007530185
87,37.09699917081743,28.01099937390536,14.84388897148301
88,37.520499161351474,28.117847686123856,14.79425412847916
89,37.64349915860221,28.22368825804028,14.745679536724355
90,36.97649917351082,28.31987299337512,14.692797690675578
91,37.29899916630238,28.417472190906942,14.64235741199676
92,37.15399916954338,28.511413341214862,14.591270109755959
93,36.53799918331206,28.596802552301003,14.536791509280254
94,37.412999163754286,28.689604621895246,14.488045182702535
95,37.44299916308373,28.78078581503263,14.439764189902212
96,37.09349917089567,28.866483890866267,14.389658602784701
97,36.85949917612597,28.948045271328102,14.338572573743235
98,37.446999162994324,29.03389329043584,14.291263000657327
99,37.531999161094426,29.11887434914243,14.244744730108987
100,37.28199916668236,29.48581934094057,13.975123492721883
101,37.32049916582182,29.85790433262382,13.680323053464871
102,36.697499179746956,30.224869324421512,13.363009719198642
