episode,score
0,0.18949999576434493
1,0.7764999826438725
2,1.2194999727420508
3,1.1534999742172658
4,1.6464999631978572
5,1.2459999721497297
6,1.6819999624043702
7,1.5399999655783176
8,2.2364999500103293
9,2.0269999546930193
10,2.152499951887876
11,2.1659999515861275
12,2.876999935694039
13,2.8364999365992842
14,3.4759999223053457
15,4.987999888509512
16,7.437999833747744
17,10.778999759070576
18,17.53749960800633
19,16.190999638102948
20,28.158499370608478
21,27.467999386042358
22,30.894499309454112
23,33.863499243091795
24,36.325499188061805
25,37.55999916046858
26,38.0204991501756
27,37.779999155551195
28,37.620999159105125
29,37.792999155260624
30,38.0639991492033
31,37.82949915444478
32,38.22849914552644
33,38.13499914761633
34,38.03749914979562
35,37.95899915155023
36,38.30249914387241
37,38.291499144118276
38,37.40349916396663
39,37.5024991617538
40,37.94949915176257
41,37.30649916613474
42,37.54949916070327
43,36.688499179948124
44,37.51949916137382
45,37.42199916355312
46,37.2474991674535
47,37.02349917246029
48,37.01949917254969
49,37.53499916102737
50,37.2599991671741
51,38.04649914959445
52,37.073499171342704
53,37.28799916654825
54,37.01949917254969
55,37.23699916768819
56,37.374499164614825
57,37.449499162938444
58,37.177999169006945
59,37.33499916549772
60,37.52599916122854
61,37.487999162077905
62,38.051499149482694
63,37.733499156590554
64,37.71399915702641
65,37.722999156825246
66,37.419499163609
67,37.58049916001037
68,37.42149916356429
69,37.66949915802106
70,37.63099915888161
71,37.5209991613403
72,37.15149916959926
73,37.28249916667119
74,37.10899917054921
75,37.89049915308133
76,36.67499918024987
77,37.00849917279557
78,37.26599916703999
79,37.84349915413186
80,37.3779991645366
81,37.00049917297438
82,37.606999159418045
83,37.65449915835634
84,37.43949916316196
85,37.56999916024506
86,37.32099916581065
87,37.18999916873872
88,37.37499916460365
89,37.31849916586653
90,37.10999917052686
91,37.203999168425796
92,37.14249916980043
