episode,score
0,0.9659999784082174
1,1.1059999752789735
2,0.9889999778941274
3,1.3769999692216515
4,1.6919999621808528
5,1.878499958012253
6,1.436499967891723
7,1.8559999585151672
8,2.6424999409355223
9,3.1234999301843347
10,2.9264999345876275
11,3.931499912124127
12,4.404499901551754
13,5.637999873980879
14,6.133999862894416
15,7.631999829411507
16,11.736999737657607
17,16.391499633621425
18,23.008999485708774
19,24.899499443452804
20,30.28749932302162
21,31.180499303061517
22,35.07949921591207
23,35.357999209687115
24,37.00949917277321
25,37.029999172315
26,37.32399916574359
27,37.98499915096909
28,37.291999166458844
29,37.26999916695058
30,37.94699915181845
31,38.03849914977327
32,37.89299915302545
33,37.60849915938452
34,37.950499151740225
35,38.161499147024
36,38.06999914906919
37,37.53949916092679
38,37.87149915350601
39,37.14649916971102
40,38.056499149370936
41,37.48599916212261
42,37.69949915735051
43,37.04699917193502
44,37.94749915180728
45,37.84999915398657
46,38.02399915009737
47,37.861499153729525
48,37.761999155953525
49,37.83649915428832
50,37.92949915220961
51,37.468999162502584
52,37.061999171599744
53,37.30699916612357
54,36.929999174550176
55,36.74749917862937
56,37.41099916379899
57,37.48849916206673
58,37.29249916644767
59,37.98749915091321
60,37.49999916180968
61,37.719499156903474
62,37.82849915446714
63,38.045999149605635
64,37.45549916280434
65,37.53999916091561
66,37.40099916402251
67,37.02249917248264
68,37.88899915311485
69,38.05449914941564
70,37.950499151740225
71,37.350999165140095
72,38.3229991434142
73,37.697499157395214
74,38.21649914579466
75,37.783999155461785
76,37.76649915585294
77,37.85949915377423
78,37.56599916033447
79,37.25099916737527
80,37.34149916535243
81,36.852499176282436
82,37.61799915917218
83,37.42399916350841
84,37.84949915399775
